

sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size, stock,weight,weight_units,0,0
NB-ABJ-NOV19,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-NOV19",False,1,2/13oz Pack,"[{'id': 200209, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-NOV19-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-NOV19-GIFT",False,1,2/13oz Pack,"[{'id': 200212, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-DEC19,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-DEC19",False,1,2/13oz Pack,"[{'id': 200227, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-ABJ-DEC19-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-DEC19-GIFT",False,1,2/13oz Pack,"[{'id': 200228, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-JAN20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-JAN20",False,1,2/13oz Pack,"[{'id': 201122, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-ABJ-JAN20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:AB&J-JAN20-GIFT",False,1,2/13oz Pack,"[{'id': 201123, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-FEB20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-FEB20-GIFT",False,1,2/13oz Pack,"[{'id': 201806, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-FEB20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-FEB20",False,1,2/13oz Pack,"[{'id': 201807, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-MAR20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-MAR20",True,1,2/13oz Pack,"[{'id': 209369, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-MAR20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-MAR20-GIFT",True,1,2/13oz Pack,"[{'id': 209370, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-APR20,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-APR20",True,1,2/13oz Pack,"[{'id': 209551, 'on_hand': '2', 'available': '-13', 'committed': '15', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-ABJ-APR20-GIFT,0,"Nut Butter, AB&J 2-Pack 13 oz Jar:ABJ-APR20-GIFT",True,1,2/13oz Pack,"[{'id': 209552, 'on_hand': '1', 'available': '0', 'committed': '1', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-PBJ-OCT19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-OCT19",False,1,2/13oz Pack,"[{'id': 198663, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-OCT19-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-OCT19-GIFT",False,1,2/13oz Pack,"[{'id': 198664, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-DEC19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-DEC19",False,1,2/13oz Pack,"[{'id': 200225, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-PBJ-DEC19-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-DEC19-GIFT",False,1,2/13oz Pack,"[{'id': 200226, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",3,lb
NB-PBJ-NOV19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-NOV19",False,1,2/13oz Pack,"[{'id': 200399, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-GIFT-NOV19,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-NOV19-GIFT",False,1,2/13oz Pack,"[{'id': 200400, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-PBJ-JAN20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-JAN20",False,1,2/13oz Pack,"[{'id': 201121, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-JAN20-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-JAN20-GIFT",False,1,2/13oz Pack,"[{'id': 201124, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-FEB20-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-FEB20-GIFT",False,1,2/13oz Pack,"[{'id': 201804, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-FEB20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-FEB20",False,1,2/13oz Pack,"[{'id': 201805, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-MAR20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-MAR20",True,1,2/13oz Pack,"[{'id': 209367, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-MAR20-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-MAR20-GIFT",True,1,2/13oz Pack,"[{'id': 209368, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-APR20,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-APR20",True,1,2/13oz Pack,"[{'id': 209549, 'on_hand': '1', 'available': '-10', 'committed': '11', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-PBJ-APR20-GIFT,0,"Nut Butter, PB&J 2-Pack 13 oz Jar:PBJ-APR20-GIFT",True,1,2/13oz Pack,"[{'id': 209550, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-PBJ-SUBSCR-NOV19,0,"Nut Butter, Subscriptions:PBJ-NOV19",False,1,13 oz Jar,"[{'id': 199384, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-ABJ-SUBSCR-NOV19,0,"Nut Butter, Subscriptions:ABJ-NOV19",False,1,13 oz Jar,"[{'id': 199385, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.13,lb
NB-PBJ-SUBSCR-DEC19,0,"Nut Butter, Subscriptions:PBJ-DEC19",False,1,13 oz jar,"[{'id': 200229, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.13,lb
NB-ABJ-SUBSCR-DEC19,0,"Nut Butter, Subscriptions:ABJ-DEC19",False,1,13 oz jar,"[{'id': 200230, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.13,lb
NB-ABJ-SUBSCR-JAN20,0,"Nut Butter, Subscriptions:ABJ-JAN20",False,1,,"[{'id': 201125, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,lb
NB-PBJ-SUBSCR-JAN20,0,"Nut Butter, Subscriptions:PBJ-JAN20",False,1,,"[{'id': 201126, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.5,,
NB-ABJ-SUBSCR-FEB20,0,"Nut Butter, Subscriptions:ABJ-FEB20",False,1,2pack / 13oz jar,"[{'id': 201929, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.14,,
NB-PBJ-SUBSCR-FEB20,0,"Nut Butter, Subscriptions:PBJ-FEB20",False,1,2pack / 13oz jar,"[{'id': 201946, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.13,,
NB-PBJ-SUBSCR-MAR20,0,"Nut Butter, Subscriptions:PBJ-MAR20-SUBSCR",True,1,2pack/13 oz Jar,"[{'id': 209371, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.14,lb
NB-ABJ-SUBSCR-MAR20,0,"Nut Butter, Subscriptions:ABJ-MAR20-SUBSCR",True,1,2pack / 13oz jar,"[{'id': 209372, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.14,lb
NB-PBJ-SUBSCR-APR20,0,"Nut Butter, Subscriptions:PBJ-APR20-SUBSCR",True,1,2pack / 13oz jar,"[{'id': 209553, 'on_hand': '0', 'available': '-3', 'committed': '3', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.14,lb
NB-ABJ-SUBSCR-APR20,0,"Nut Butter, Subscriptions:ABJ-APR20-SUBSCR",True,1,2pack / 13oz jar,"[{'id': 209554, 'on_hand': '1', 'available': '-1', 'committed': '2', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",2.14,lb
NB-RSTR-SUBSCR-APR20,0,"Nut Butter, Subscriptions:RSTR-APR20",True,1,13 oz jar,"[{'id': 209555, 'on_hand': '0', 'available': '-7', 'committed': '7', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",1.15,,
NB-RSTR-SUBSCR-DEC19,0,"Nut Butter, Subscriptions:RSTR-DEC19",False,1,13oz Jar,"[{'id': 200978, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",17,oz
NB-RSTR-SUBSCR-JAN20,0,"Nut Butter, Subscriptions:RSTR-JAN20",False,1,,"[{'id': 201127, 'on_hand': '4', 'available': '4', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-RSTR-SUBSCR-FEB20,0,"Nut Butter, Subscriptions:RSTR-FEB20",False,1,13 oz jar,"[{'id': 201965, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
NB-RSTR-SUBSCR-MAR20,0,"Nut Butter, Subscriptions:RSTR-MAR20",True,1,,"[{'id': 209373, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,,
